id	staffno	old_hodid	new_hodid
9	A0160	0	197
14	A0167	0	197
21	A0178	0	289
24	A0184	0	197
30	A0199	0	197
33	A0208	0	197
34	A0210	0	197
45	A0233	0	197
46	A0234	0	197
47	A0236	0	197
49	A0241	0	197
50	A0242	0	197
51	A0244	0	197
58	A0253	0	197
59	A0254	0	197
75	A0280	0	197
79	M0763	0	154
84	M0069	0	197
144	M0348	0	289
202	M0477	0	87
267	M0779	0	103
298	M0638	0	298
373	T0013	0	304
376	T0027	0	87
377	T0034	0	87
378	T0036	0	113
379	T0044	0	87
380	T0063	0	113
383	T0100	0	289
384	T0128	0	289
386	T0136	0	289
387	T0144	0	289
389	T0172	0	289
392	T0207	0	289
394	T0277	0	113
395	T0278	0	272
396	T0282	0	289
397	T0285	0	289
398	T0290	0	304
399	T0294	0	289
401	T0308	0	87
402	T0315	0	154
404	T0331	0	289
408	T0363	0	289
410	T0388	0	304
412	T0404	0	289
413	T0433	0	87
416	T0656	0	289
417	T0657	0	289
418	T0677	0	113
420	T0788	0	289
424	T0945	0	87
426	T0961	0	154
427	T0971	0	289
429	T0987	0	289
430	T1004	0	304
431	T1022	0	154
433	T1069	0	289
434	T1087	0	289
435	T1100	0	289
436	T1146	0	304
437	T1149	0	289
438	T1154	0	4447
443	T1260	0	289
444	T1283	0	100
445	T1330	0	289
446	T1337	0	289
448	T1503	0	4447
449	T1558	0	289
452	T1628	0	289
453	T1633	0	113
454	T1636	0	100
456	T1656	0	197
457	T1692	0	87
458	T1713	0	289
463	T1810	0	289
464	T1837	0	87
465	T1880	0	87
466	T1883	0	289
467	T1899	0	113
468	T1901	0	289
470	T1918	0	289
471	T1934	0	289
472	T1944	0	87
474	T1957	0	139
476	T1974	0	197
478	T2009	0	289
479	T2015	0	289
480	T2053	0	289
481	T2065	0	289
482	T2080	0	289
485	T2136	0	289
487	T2159	0	308
488	T2181	0	289
489	T2184	0	289
490	T2185	0	289
492	T2198	0	289
493	T2209	0	289
495	T2266	0	289
496	T2285	0	289
497	T2292	0	272
498	T2298	0	289
499	T2303	0	100
500	T2316	0	289
501	T2335	0	289
504	T2359	0	289
506	T2416	0	87
507	T2439	0	289
510	T2460	0	272
512	T2489	0	139
514	T2512	0	113
518	T2566	0	289
520	T2593	0	289
522	T2622	0	87
523	T2642	0	154
