t	c	id	v
participateojt	userid	299036	4833
participateojt	userid	299057	4833
participateojt	userid	299078	4833
participateojt	userid	310717	3088
participateojt	userid	324579	3088
participateojt	userid	325302	3088
participateojt	userid	325303	3088
participateojt	userid	325592	3088
participateojt	userid	325605	3088
participateojt	userid	337018	3088
participateojt	userid	337089	3088
participateojt	userid	337198	3088
participateojt	userid	337257	3088
participateojt	userid	339769	5449
participateojt	userid	340769	4806
participateojt	userid	340770	4806
participateojt	userid	340783	4806
participateojt	userid	340784	4806
participateojt	userid	340858	4806
participateojt	userid	340859	4806
participateojt	userid	340873	4806
participateojt	userid	340874	4806
participateojt	userid	340888	4806
participateojt	userid	340889	4806
participateojt	userid	340992	4806
participateojt	userid	341056	4806
participateojt	userid	342381	5425
participateojt	userid	345914	5545
participateojt	userid	345916	5545
participateojt	userid	345984	5545
participateojt	userid	346075	5545
participateojt	userid	346166	5545
participateojt	userid	346257	5545
participateojt	userid	350630	3088
participateojt	userid	350650	3088
participateojt	userid	350690	3088
participateojt	userid	350944	3088
participateojt	userid	351351	3088
participateojt	userid	351422	5616
participateojt	userid	351597	5616
participateojt	userid	352130	3088
participateojt	userid	352929	5449
participateojt	userid	352934	5856
participateojt	userid	352937	5861
participateojt	userid	352987	5449
participateojt	userid	352992	5856
participateojt	userid	352995	5861
participateojt	userid	353080	5449
participateojt	userid	353085	5856
participateojt	userid	353088	5861
participateojt	userid	353143	5449
participateojt	userid	353148	5856
participateojt	userid	353151	5861
participateojt	userid	353176	5449
participateojt	userid	353181	5856
participateojt	userid	353184	5861
participateojt	userid	353622	4705
participateojt	userid	353707	4705
participateojt	userid	353792	4705
participateojt	userid	353877	4705
participateojt	userid	354689	4705
participateojt	userid	354775	4705
participateojt_archive	userid	46503	3088
participateojt_archive	userid	47014	3088
participateojt_archive	userid	47015	3088
participateojt_archive	userid	48380	3088
participateojt_archive	userid	48389	3088
participateojt_archive	userid	49641	3088
participateojt_archive	userid	59175	3088
participateojt_archive	userid	59184	3088
participateojt_archive	userid	59548	3088
participateojt_archive	userid	59563	3088
participateojt_archive	userid	59578	3088
participateojt_archive	userid	59651	3088
participateojt_archive	userid	59936	3088
participateojt_archive	userid	61369	3088
participateojt_archive	userid	66942	3088
participateojt_archive	userid	67096	3088
participateojt_archive	userid	68902	3088
participateojt_archive	userid	68945	3088
participateojt_archive	userid	74548	3088
participateojt_archive	userid	74581	3088
participateojt_archive	userid	74599	3088
