pme_id	userid	old_pme_hodid	new_hodid
10668	4939	NULL	107
10710	4994	NULL	4653
10719	4994	NULL	4653
10778	4994	NULL	4653
10786	4994	NULL	4653
10914	4988	NULL	87
11004	4986	NULL	197
11016	4993	NULL	95
11034	4697	NULL	358
11043	4991	NULL	139
11045	4992	NULL	139
11093	4994	NULL	4653
11110	4990	NULL	197
11112	4995	NULL	197
11115	4988	NULL	87
11135	5058	NULL	100
11300	4747	NULL	139
11301	4991	NULL	139
11310	5289	NULL	100
11488	4457	NULL	113
11493	4569	NULL	113
11498	4463	NULL	113
11500	4568	NULL	113
11529	4995	NULL	197
11670	4988	NULL	87
11672	4988	NULL	87
11710	5289	NULL	100
11805	4986	NULL	197
11832	4988	NULL	87
11833	4994	NULL	4653
11834	4995	NULL	197
11835	4992	NULL	139
11836	4991	NULL	139
11844	4697	NULL	358
11845	4986	NULL	197
